County,2000,2001,2002,2003,2004,sum
IL:_La_Salle_County,10,9,10,7,16,52
IL:_Lawrence_County,1,0,0,3,5,9
IL:_Lee_County,4,2,1,2,3,12
IL:_Livingston_County,4,2,3,3,1,13
IL:_Logan_County,1,3,2,6,0,12
IL:_McDonough_County,2,2,1,2,1,8
IL:_McHenry_County,11,20,21,19,23,94
IL:_McLean_County,10,9,16,13,9,57
IL:_Macon_County,7,4,13,10,11,45
IL:_Macoupin_County,7,4,2,7,2,22
IL:_Madison_County,25,15,10,18,17,85
IL:_Marion_County,2,2,5,2,3,14
IL:_Marshall_County,2,2,2,0,1,7
IL:_Mason_County,3,1,0,1,1,6
IL:_Massac_County,1,0,4,3,1,9
IL:_Menard_County,0,2,0,1,0,3
IL:_Mercer_County,1,1,3,0,2,7
IL:_Monroe_County,2,5,2,2,4,15
IL:_Montgomery_County,2,3,2,4,2,13
IL:_Morgan_County,4,3,5,3,4,19
IL:_Moultrie_County,1,2,0,1,1,5
IL:_Ogle_County,3,3,3,4,2,15
IL:_Peoria_County,14,9,9,15,13,60
IL:_Perry_County,1,0,2,2,3,8
IL:_Piatt_County,0,2,1,1,2,6
IL:_Pike_County,1,0,1,1,5,8
IL:_Pope_County,0,0,0,0,0,0
IL:_Pulaski_County,0,2,0,0,0,2
IL:_Putnam_County,0,0,0,0,0,0
IL:_Randolph_County,2,3,1,4,3,13
IL:_Richland_County,2,2,1,1,1,7
IL:_Rock_Island_County,7,5,7,14,12,45
IL:_St_Clair_County,19,13,7,22,14,75
IL:_Saline_County,0,1,0,1,1,3
IL:_Sangamon_County,11,14,13,8,14,60
IL:_Schuyler_County,1,1,0,1,0,3
IL:_Scott_County,0,0,0,1,0,1
IL:_Shelby_County,3,3,2,1,3,12
IL:_Stark_County,0,0,0,1,0,1
IL:_Stephenson_County,2,5,3,4,5,19
IL:_Tazewell_County,12,17,10,7,10,56
IL:_Union_County,4,3,1,0,0,8
IL:_Vermilion_County,2,4,6,6,6,24
IL:_Wabash_County,3,3,0,0,1,7
IL:_Warren_County,3,0,3,1,4,11
IL:_Washington_County,2,0,3,0,0,5
IL:_Wayne_County,2,2,0,0,0,4
IL:_White_County,2,1,1,2,1,7
IL:_Whiteside_County,2,7,5,7,8,29
IL:_Will_County,27,22,21,42,35,147
IL:_Williamson_County,4,4,4,5,6,23
